"","timestamp","coin_id","vs_currency","price","total_volume","market_cap","net_ret","change_tv","change_mc"
"1",2019-10-04 00:00:00,"pantos","usd",0.0247370785293679,26597.5754078578,12026219.8787631,NA,NA,NA
"2",2019-10-05 00:00:00,"pantos","usd",0.0247370785293679,26597.5754078578,12026219.8787631,0,0,0
"3",2019-10-06 00:00:00,"pantos","usd",0.0258116766567492,21965.2543924235,12548648.319367,4.34407857057778,-17.4163281592417,4.34407857057779
"4",2019-10-07 00:00:00,"pantos","usd",0.0245231479042311,15407.8982530341,11922215.0047178,-4.9920381757965,-29.8533129743821,-4.99203817579651
"5",2019-10-08 00:00:00,"pantos","usd",0.0240891015935901,2305.30003403342,11711198.3172323,-1.76994532812859,-85.0381927750629,-1.76994532812858
"6",2019-10-09 00:00:00,"pantos","usd",0.0237439995731516,8298.60549917225,11543422.9360987,-1.43260643863235,259.979411645293,-1.43260643863236
"7",2019-10-10 00:00:00,"pantos","usd",0.0246094620898797,11520.3056688447,11964177.6549974,3.64497360295904,38.822187293923,3.64497360295905
"8",2019-10-11 00:00:00,"pantos","usd",0.0247844536347039,5955.0289569235,12049251.8399898,0.71107423715762,-48.3084118763604,0.711074237157619
"9",2019-10-12 00:00:00,"pantos","usd",0.0242211513717036,8252.83458157491,11775395.8603921,-2.27280484493558,38.5859689562031,-2.27280484493558
"10",2019-10-13 00:00:00,"pantos","usd",0.0245195656289857,318.261504324898,11920473.439734,1.23203993362086,-96.143609796379,1.23203993362087
"11",2019-10-14 00:00:00,"pantos","usd",0.0243486537194773,5992.25408847829,11837382.6171372,-0.697042974147864,1782.80832178845,-0.697042974147873
"12",2019-10-15 00:00:00,"pantos","usd",0.0241061109983856,491.345553271638,11719467.6381966,-0.996123744195698,-91.8003217818086,-0.996123744195689
"13",2019-10-16 00:00:00,"pantos","usd",0.0237198307499089,573.27182619551,11531672.9801698,-1.60241628565704,16.6738606624937,-1.60241628565705
"14",2019-10-17 00:00:00,"pantos","usd",0.0234134455642928,8569.63884151069,11382720.2408462,-1.29168369220858,1394.86481803627,-1.29168369220858
"15",2019-10-18 00:00:00,"pantos","usd",0.0233592880978865,934.371523915462,11356390.9555061,-0.231309254580104,-89.0967222633766,-0.231309254580097
"16",2019-10-19 00:00:00,"pantos","usd",0.0233753621004337,9506.38943308607,11364205.5197334,0.0688120394755878,917.410011945759,0.0688120394755913
"17",2019-10-20 00:00:00,"pantos","usd",0.0235363416761138,980.124792838167,11442467.6221406,0.688672008538008,-89.6898312473194,0.688672008538005
"18",2019-10-21 00:00:00,"pantos","usd",0.0237261692057537,18.0556147655785,11534754.494569,0.806529460916791,-98.1578249119386,0.806529460916789
"19",2019-10-22 00:00:00,"pantos","usd",0.023359145467824,440.95765806448,11356321.614234,-1.54691528475082,2342.2190204519,-1.54691528475082
"20",2019-10-23 00:00:00,"pantos","usd",0.023207604604437,899.666033471834,11282648.2521373,-0.648743181105459,104.025492474898,-0.648743181105465
"21",2019-10-24 00:00:00,"pantos","usd",0.0227992734239746,16738.2457318683,11084133.2757723,-1.75947146386826,1760.49546266352,-1.75947146386825
"22",2019-10-25 00:00:00,"pantos","usd",0.0227013687886568,6672.75193606241,11036535.7929053,-0.429419979738588,-60.1346996396522,-0.429419979738586
"23",2019-10-26 00:00:00,"pantos","usd",0.0229781142878668,4015.13803487267,11171078.8522244,1.21906965957175,-39.8278540346578,1.21906965957175
"24",2019-10-27 00:00:00,"pantos","usd",0.0235321197659977,33404.6887267317,11440415.0911877,2.41101367671149,731.968625651275,2.41101367671148
"25",2019-10-28 00:00:00,"pantos","usd",0.0230979250238143,1224.21168333773,11229326.2419729,-1.84511529985819,-96.3352100258965,-1.84511529985818
"26",2019-10-29 00:00:00,"pantos","usd",0.023253150388291,7920.2539546853,11304790.8673426,0.672031640576877,546.967682344875,0.672031640576862
"27",2019-10-30 00:00:00,"pantos","usd",0.022820852971044,4435.03550898057,11094624.4248234,-1.85909182209032,-44.0038724218308,-1.85909182209032
"28",2019-10-31 00:00:00,"pantos","usd",0.02387127872893,16510.1793960685,11605301.1854464,4.60292066742137,272.26712982651,4.60292066742138
"29",2019-11-01 00:00:00,"pantos","usd",0.0236526308394175,8177.2534957607,11499002.9581847,-0.915945442200094,-50.4714437100065,-0.915945442200102
"30",2019-11-02 00:00:00,"pantos","usd",0.024419451166572,33069.6583815227,11871801.6235937,3.24200860513423,304.410336534961,3.24200860513423
"31",2019-11-03 00:00:00,"pantos","usd",0.0241664582067684,4393.358601651,11748806.1389504,-1.0360304909307,-86.714835239708,-1.0360304909307
"32",2019-11-04 00:00:00,"pantos","usd",0.0239096058321124,2905.54804479505,11623934.354664,-1.06284658040664,-33.864992406876,-1.06284658040665
"33",2019-11-05 00:00:00,"pantos","usd",0.0242781411563681,34842.0790004194,11803102.1103603,1.5413693008723,1099.15687034791,1.54136930087232
"34",2019-11-06 00:00:00,"pantos","usd",0.0243417861422366,9689.96476089012,11834043.8641866,0.262149336139916,-72.1889019286895,0.262149336139909
"35",2019-11-07 00:00:00,"pantos","usd",0.0253357130289157,58220.1430109341,12317253.0381569,4.08321263226614,500.829254260219,4.08321263226613
"36",2019-11-08 00:00:00,"pantos","usd",0.0262789678788669,216237.240819305,12775827.4091667,3.72302468406844,271.413104874535,3.72302468406845
"37",2019-11-09 00:00:00,"pantos","usd",0.0275244208188442,66770.8015229717,13381318.9140361,4.739352571677,-69.1215068829112,4.739352571677
